name,location,price,capacity,rating,reviews,description
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"An urban oasis nestled in the heart of Midtown, this property offers lush lawns, verdant tropical foliage."
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,One of Atlanta’s most charming and inviting private event spaces with high ceilings and ample natural light.
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,$$,251-300 Guests,4.7,132,Celebrates what Atlanta is all about with city skylines tucked in among the trees and seasonal colors.
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,3,"A wedding venue located in South Downtown Atlanta, offering custom wedding experiences."
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,An industrial-meets-chic property perfect for creative couples.
Grana,"Atlanta, GA",$$,151-200 Guests,5,1,Offers authentic Southern Italian cuisine in a warm and inviting setting.
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,Surrounded by 83 acres of landscaped gardens with captivating views.
FORTH Hotel Atlanta,"Atlanta, GA",$$$$,201-250 Guests,0,0,A luxury venue in the Old Fourth Ward with an elegant ballroom.
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,A unique wedding venue built in 1910 with historic charm.
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,100,Offers full-service wedding events with outstanding staff.
The Kimpton Shane,Atlanta,$$$,51-100 Guests,0,0,A boutique hotel with stunning architecture and stylish furnishings.
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,0,0,An elegant restaurant venue in Buckhead for weddings and events.
The White Bull,"Decatur, GA",$$,51-100 Guests,0,0,A restaurant specializing in Italian farm-to-table cuisine.
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,An elegant venue with unique surroundings and convenient location.
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,92,A premier wedding venue with an elegant courtroom and marble features.
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,"A Victorian-era home in Midtown, perfect for weddings and events."
Renaissance Atlanta Midtown Hotel,Midtown Atlanta,$$$,300+ Guests,5,2,Located in the arts and music district with prime location.
SCAD Ivy Hall,Georgia,$$,101-150 Guests,4.5,4,A historic wedding venue designed by renowned architect Gottfried L. Norrman.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,8,Combines classic charm with modern luxury in Buckhead.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,Luxury venue with Southern charm in a prestigious neighborhood.
Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5,9,A historic mansion with Victorian-era architecture.
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5,6,Offers a blend of industrial modernity and refined elegance.
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0,0,An award-winning hotel with modern redevelopment.
The Westside Warehouse,"Atlanta, GA",$$,201-250 Guests,5,37,A converted warehouse with cathedral ceilings in west-midtown.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",$$$$,300+ Guests,0,0,Located in downtown across from Centennial Olympic Park.
Kimpton Sylvan Hotel,"Atlanta, GA",$$$,101-150 Guests,4.2,41,A boutique hotel in Buckhead with access to luxury amenities.
THE TROLLEY BARN,"Atlanta, GA",$$,201-250 Guests,4.2,41,An 1889 structure with hardwood floors and garden area.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5,4,An urban retreat with tenured staff for memorable events.
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",$$$,300+ Guests,0,0,Elegant hotel combining luxury and convenience near the airport.
Swan Coach House,"Atlanta, GA",$$,101-150 Guests,5,7,An elegant historic space in the residential heart of Buckhead.
