name,price,description
Women's Pret Cambric Embroidered Beige A-Line Shirt,"Rs.4,490.00",Embroidered Cambric Shirt from RTW Intermix '25 New Arrivals
Women's Pret Arabic Lawn Printed Multi A-Line Shirt,"Rs.3,290.00",Printed Arabic Lawn Shirt from RTW Intermix '25 New Arrivals
Women's Pret Cambric Embroidered Pink A-Line Shirt,"Rs.4,490.00",Embroidered Cambric Shirt from RTW Intermix '25 New Arrivals
Women's Pret Dobby Embroidered Pink Straight Shirt,"Rs.4,990.00",Embroidered Dobby Shirt from RTW Intermix '25 New Arrivals
Women's Pret Dobby Embroidered Blue A-Line Shirt,"Rs.4,990.00",Embroidered Dobby Shirt from RTW Intermix '25 New Arrivals
Women's Pret Cambric Embroidered Grey A-Line Shirt,"Rs.4,490.00",Embroidered Cambric Shirt from RTW Intermix '25 New Arrivals
Women's Pret Cambric Printed Multi Boxy Shirt,"Rs.3,990.00",Printed Cambric Shirt from RTW Intermix '25 New Arrivals
Women's Pret Cotton Viscose Printed Multi A-Line Shirt,"Rs.3,290.00",Printed Cotton Viscose Shirt from RTW Intermix '25 New Arrivals
Women's Pret Arabic Lawn Embroidered Green A-Line Shirt,"Rs.3,990.00",Embroidered Arabic Lawn Shirt from RTW Intermix '25 New Arrivals
Women's Pret Cambric Printed Multi A-Line Shirt,"Rs.3,290.00",Printed Cambric Shirt from RTW Intermix '25 New Arrivals
Embroidered Cambric Shirt,"Rs.4,490.00",Women's Pret Cambric Embroidered Beige A-Line Shirt
Printed Arabic Lawn Shirt,"Rs.3,290.00",Women's Pret Arabic Lawn Printed Multi A-Line Shirt
Embroidered Dobby Shirt,"Rs.4,990.00",Women's Pret Dobby Embroidered Pink Straight Shirt
Printed Cambric Shirt,"Rs.3,990.00",Women's Pret Cambric Printed Multi Boxy Shirt
Printed Cotton Viscose Shirt,"Rs.3,290.00",Women's Pret Cotton Viscose Printed Multi A-Line Shirt
Embroidered Arabic Lawn Shirt,"Rs.3,990.00",Women's Pret Arabic Lawn Embroidered Green A-Line Shirt
